what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.validation.examples,1.3.0.v200901271722,"org.eclipse.emf.validation.examples",1523927062518
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1523927062519
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1523927062519
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1523927062519
stopped,bundle,org.eclipse.equinox.security.ui,1.0.100.v20090520-1800,"org.eclipse.equinox.security.ui",1523927062520
stopped,bundle,org.eclipse.gef.examples.ui.pde,3.5.0.v20090422-2346,"org.eclipse.gef.examples.ui.pde",1523927062521
stopped,bundle,org.eclipse.gmf.examples.ui.pde,1.2.0.v20090403-1720,"org.eclipse.gmf.examples.ui.pde",1523927062522
stopped,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1523927062522
stopped,bundle,org.eclipse.emf.teneo.hibernate.eclipse,1.1.0.v200909151729,"org.eclipse.emf.teneo.hibernate.eclipse",1523927062523
stopped,bundle,org.eclipse.emf.teneo.orm.eclipse,1.0.0.v200909151729,"org.eclipse.emf.teneo.orm.eclipse",1523927062523
stopped,bundle,org.eclipse.emf.teneo.eclipse,1.1.0.v200909151729,"org.eclipse.emf.teneo.eclipse",1523927062524
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1523927062524
stopped,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1523927062525
stopped,bundle,org.eclipse.jsch.ui,1.1.200.I20090430-0408,"org.eclipse.jsch.ui",1523927062525
stopped,bundle,org.eclipse.net4j.buddies.chat.ui,2.0.0.v200906160348,"org.eclipse.net4j.buddies.chat.ui",1523927062526
stopped,bundle,org.eclipse.net4j.buddies.ui,2.0.0.v200906160348,"org.eclipse.net4j.buddies.ui",1523927062527
stopped,bundle,org.eclipse.net4j.examples,2.0.0.v200906160348,"org.eclipse.net4j.examples",1523927062527
stopped,bundle,org.eclipse.net4j.ui,2.0.0.v200906160348,"org.eclipse.net4j.ui",1523927062527
stopped,bundle,org.eclipse.net4j.ui.defs,2.0.0.v200906160348,"org.eclipse.net4j.ui.defs",1523927062527
stopped,bundle,org.eclipse.net4j.util.ui,2.0.0.v200906160348,"org.eclipse.net4j.util.ui",1523927062528
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1523927062528
stopped,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1523927062528
stopped,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1523927062528
stopped,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1523927062529
stopped,bundle,org.eclipse.acceleo.examples,0.8.1.v200909161003,"org.eclipse.acceleo.examples",1523927062529
stopped,bundle,org.eclipse.m2m.atl.examples,3.0.2.v201001190421,"org.eclipse.m2m.atl.examples",1523927062529
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1523927062529
